Date,Activity,Venue,Type,MediaFolder
2026-02-15, Maha Shivarathiri Utsavam with Gaayak Band music concert and Ekadasa Rudram chanting by Shri Bharath Bhatt and team,Estancia Clubhouse hall,Yearly,
2021-12-05,Sri Sastha Preeti Utsavam followed by Bhajans by Sri Veeramanidasan,Estancia Club House Hall,Yearly,
Every Pradosham,Monthly Pradosham pooja with Vedic chanting by Athur Chathurveda patashala vidyarthis,Vidya Mandir Ganapathi temple @ Estancia,Monthly,
Every Sankatahara Chathurthi,Monthly Sankatahara Chathurthi pooja with Vedic chanting,Vidya Mandir Ganapathi temple @ Estancia,Monthly,
2023-02-18,Mahasivarathri pooja with Vedic chanting,Vidya Mandir Ganapathi temple @ Estancia,Yearly,
2023-02-25,Musical discourse on "Thirumurai Thalangal of Kavinmighu Kanchi" by Smt. B. Suchitra,Estancia Club House Hall,Yearly,
2023-03-31,Sriramanavami Utsavam with Namasangeerthanam by Ms.Vatsalya Thulasidharan,Estancia Club House Hall,Yearly,
2023-07-16,Rudhrabhishekam to main deity of 1300 years old Siva Temple with Vedic Chanting,Nethrapureeswarar temple near Maduranthakam,Yearly,
2023-10-01,Gokulashtami Utsavam 2023 with cultural programs and discourse by Sri Dushyanth Sridhar,Estancia Club House Hall,Yearly, YT:bo9y-tnc-k4;YT:cVKi5crmy0k;GP:https://photos.app.goo.gl/YV8en5E6hXEuMFLXA
2023-12-25,Sri Dharmasastha Preeti Utsavam with Ayyappa procession and concert by Sri Veeramani Raju,Estancia Club house hall,Yearly, GP:https://photos.app.goo.gl/7U4bC1yKY1hy9otY6;YT:MoTx9-BAOw0;YT:PKNezzOuGEQ
2024-03-08,Maha Shivarathiri Utsavam with Ekadasa Rudram chanting by SMART team,Estancia Clubhouse hall,Yearly, GP:https://photos.app.goo.gl/fpbKW7zLA6rQNjUk9;YT:Zct__RDlGDc
2024-09-07,Vinayaka Chathurthi utsavam,Vidya Mandir Ganapathi temple @ Estancia,Yearly,
2024-12-25,Sri Dharmasastha Preeti Utsavam with Ayyappa procession and concert by Sri Veeramani Raju,Estancia Club house hall,Yearly, YT:CjtD3mSThSo;GP:https://photos.app.goo.gl/FhsZcmuQJ4P1uGFh9
2025-01-12,Veedhi bhajan by Smt. Suchitra Balasubramanian with Estancia residents,Vidya Mandir temple and Estancia Road,Yearly
2025-02-26,Maha Shivarathiri Utsavam with Tamil upanyasam by Smt. U E Sinddhuja and Ekadasa Rudram chanting by Shri Bharath Bhatt and team,Estancia Clubhouse hall,Yearly, YT:IwVPrKP_ocY
2025-04-19,Sri Ramanavami Utsavam with nama sankeertanam by Shri Srinathdass Maharaj,Estancia Club house hall,Yearly, GP:https://photos.app.goo.gl/A7JTt3Hn16xQXLav7;YT:cZYZSouVe0c
2025-08-27,Vinayaka Chathurthi utsavam,Vidya Mandir Ganapathi temple @ Estancia,Yearly,
2025-12-21,Veedhi bhajan by Smt. Suchitra Balasubramanian with Estancia residents,Vidya Mandir temple and Estancia Road,Yearly, IR:https://www.instagram.com/suchithra26/reel/DSh5EXOkgXs/
2025-12-25,Sri Dharmasastha Preeti Utsavam with Ayyappa procession and concert by Chakkamkulangara Bhajana Samithi,Estancia Club house hall,Yearly, YT:d2QT_CT9cTw;YT:E1BwvTj6gLU
2026-01-13, Donation of Rs. 35000/- to Thiruvaleeswarar Temple renovation,Thiruvalishwarar Temple Road Nattarasanpattu Tamil Nadu 601301, Yearly, GM:https://maps.app.goo.gl/UFGM8i2N9JtXV6cE6