Name,Role,Category
Sri. Rammohan,Managing Trustee,Management
Sri. Gurumurthy,Deputy Managing Trustee,Management
Sri. A S Prasad,Secretary,Management
Sri. Ramesh Jayaram,Treasurer,Management
Sri. Rajakumar,Joint Treasurer,Management
Sri. K V Suresh,Author,Management
Sri. Kousik Ganesh,Trustee,General
Sri. Sabarirajan,Trustee,General
Sri. Krishnan, Trustee,General
Sri. K BhagawanDoss, Trustee,General
Sri. Venkatakrishnan, Trustee,General
Sri. Velavan, Trustee,General
Sri. Ganesan, Trustee,General
Sri. Pattabhiraman, Trustee,General
Sri. Shivakumar, Trustee,General
Sri. Narayanan, Trustee,General
Sri. Rajib Kumar Hota,Retd. Income tax commissioner, Advisor